iris_id,sepal_length,sepal_width,petal_length,petal_width,species,event_timestamp
10033,4.79,4.39,2.1,0.26,setosa,2025-02-12 16:36:08
10034,7.04,4.31,3.03,0.19,setosa,2025-04-09 16:36:08
10035,2.2,4.39,5.13,1.69,virginica,2024-09-30 16:36:08
10036,4.55,4.38,3.08,2.45,versicolor,2025-03-31 16:36:08
10037,2.95,4.35,4.08,1.45,versicolor,2024-07-01 16:36:08
10038,6.21,4.32,2.81,1.15,versicolor,2025-01-22 16:36:08
10039,5.95,4.39,2.43,1.2,versicolor,2025-05-02 16:36:08
10040,7.05,4.34,3.18,2.21,virginica,2024-10-02 16:36:08
10041,4.63,4.35,3.92,0.83,setosa,2024-11-01 16:36:08
10042,2.19,4.36,4.77,1.78,virginica,2024-11-11 16:36:08
10043,5.35,4.39,2.27,1.97,setosa,2025-03-23 16:36:08
10044,7.89,4.34,1.18,1.83,virginica,2024-10-13 16:36:08
10045,6.41,4.37,5.28,1.24,virginica,2024-09-27 16:36:08
10046,4.36,4.39,4.5,2.26,versicolor,2025-02-24 16:36:08
10047,4.02,4.34,4.14,2.35,virginica,2024-12-02 16:36:08
10048,5.27,4.31,6.06,1.26,virginica,2024-08-03 16:36:08
10049,2.89,4.35,6.11,0.53,versicolor,2025-04-20 16:36:08
10050,3.13,4.38,6.64,1.58,virginica,2025-05-03 16:36:08
10051,5.34,4.32,2.77,0.26,versicolor,2024-08-03 16:36:08
10052,3.34,4.34,5.93,2.47,virginica,2024-12-10 16:36:08
10053,5.78,4.32,2.18,0.6,setosa,2025-06-14 16:36:08
10054,4.8,4.38,5.52,0.98,virginica,2024-09-02 16:36:08
10055,5.77,4.35,3.82,1.0,virginica,2025-05-27 16:36:08
10056,2.35,4.39,4.56,2.3,versicolor,2025-03-20 16:36:08
10057,3.22,4.35,5.85,0.37,setosa,2025-02-07 16:36:08
10058,5.57,4.3,3.35,1.88,virginica,2025-04-10 16:36:08
10059,5.13,4.38,2.17,0.4,setosa,2024-07-24 16:36:08
10060,6.74,4.37,5.32,0.26,virginica,2025-01-05 16:36:08
10061,5.34,4.34,2.05,0.6,versicolor,2025-04-15 16:36:08
10062,4.41,4.31,2.82,0.98,virginica,2025-01-26 16:36:08
10063,5.0,4.3,1.15,1.62,virginica,2024-08-19 16:36:08
10064,2.69,4.31,5.42,0.45,virginica,2024-11-17 16:36:08
10065,2.14,4.34,1.97,1.42,versicolor,2025-06-20 16:36:08
10066,4.38,4.33,4.68,0.38,versicolor,2025-05-06 16:36:08
10067,7.77,4.37,3.3,2.34,setosa,2024-10-01 16:36:08
10068,5.79,4.32,2.49,1.69,setosa,2024-10-09 16:36:08
10069,3.5,4.38,2.55,0.7,versicolor,2024-07-11 16:36:08
10070,6.46,4.38,2.43,1.05,virginica,2024-06-23 16:36:08
10071,6.52,4.35,4.62,0.53,setosa,2024-06-24 16:36:08
10072,7.03,4.4,2.18,0.21,setosa,2024-07-09 16:36:08
10073,2.2,4.37,5.63,1.38,virginica,2024-12-14 16:36:08
10074,6.14,4.38,2.03,0.68,setosa,2024-08-12 16:36:08
10075,6.43,4.38,4.43,0.97,virginica,2024-10-18 16:36:08
10076,2.77,4.34,3.11,1.51,versicolor,2024-09-19 16:36:08
10077,4.05,4.39,2.57,2.46,virginica,2025-02-19 16:36:08
10078,2.85,4.31,1.69,1.28,versicolor,2024-12-05 16:36:08
10079,4.0,4.39,5.32,1.59,setosa,2024-11-23 16:36:08
10080,4.46,4.36,5.11,2.41,setosa,2024-10-09 16:36:08
10081,7.2,4.34,3.2,2.24,virginica,2025-03-04 16:36:08
10082,2.63,4.34,4.08,1.68,virginica,2025-03-12 16:36:08
10083,6.64,4.32,4.88,1.42,versicolor,2025-06-07 16:36:08
10084,5.12,4.37,2.31,0.38,virginica,2024-10-10 16:36:08
10085,6.52,4.31,2.81,0.9,setosa,2025-06-14 16:36:08
10086,2.01,4.37,6.44,1.35,virginica,2025-01-29 16:36:08
10087,6.32,4.31,1.41,2.27,setosa,2025-02-14 16:36:08
10088,5.68,4.3,2.44,2.09,versicolor,2025-06-07 16:36:08
10089,3.72,4.4,2.95,1.35,versicolor,2024-07-13 16:36:08
10090,7.74,4.39,1.1,1.23,virginica,2025-04-09 16:36:08
10091,5.28,4.36,3.54,0.25,versicolor,2025-05-28 16:36:08
10092,3.63,4.38,1.66,2.37,virginica,2025-04-14 16:36:08
10093,7.88,4.36,5.98,0.22,versicolor,2024-08-01 16:36:08
10094,7.37,4.31,2.77,1.92,virginica,2024-08-10 16:36:08
10095,4.51,4.38,1.55,1.23,versicolor,2024-11-15 16:36:08
10096,6.78,4.39,4.64,1.51,virginica,2025-03-03 16:36:08
10097,2.15,4.32,1.49,2.33,virginica,2025-02-02 16:36:08
10098,2.77,4.35,6.74,0.15,setosa,2024-07-04 16:36:08
10099,4.19,4.33,1.63,0.13,versicolor,2025-01-22 16:36:08
10100,7.74,4.34,3.24,1.53,setosa,2024-07-19 16:36:08
10101,5.11,4.34,3.15,1.28,virginica,2025-04-05 16:36:08
